,measurement_uid,status,outcome
163,20231020113429.531305_BR_tor_b02d028e020a0730,blocked.blockpage.http,blocked
164,20231023111352.066717_BR_httpheaderfieldmanipulation_6b6b085d94bdf9a0,blocked.tcp,blocked
165,20231023113321.912812_BR_tor_051a78d8f66280e2,blocked.tcp,blocked
166,20231031105152.595912_US_webconnectivity_3b555141744944cf,blocked.dns.nxdomain,blocked
167,20231107124530.664674_CU_signal_1f1a40d8ba9b3618,ok,ok
168,20231116211939.059228_SA_webconnectivity_3b3561e25ed31b79,ok,ok
169,20231120222913.456317_IR_torsf_f45029d8420eb75b,down,down
170,20231120235958.931398_IR_torsf_b9a3ed334e55f797,down,down
171,20231126083103.781159_US_dash_8710a68a1df0e469,ok,ok
172,20231127034710.665017_US_signal_39e71b46511010bf,blocked,blocked
173,20231204092850.298508_US_facebookmessenger_d8266190615b4524,blocked.dns,blocked
174,20231204093215.602728_US_torsf_26044acfbdf7957f,ok,ok
175,20231208180047.478544_DE_signal_f6b9d7e43036f981,blocked,blocked
176,20231209121320.661011_IR_psiphon_71802acfe6709f2e,blocked,blocked
177,20231209121424.226847_IR_tor_921f3835501f2041,down,down
178,20231209123431.938733_IR_psiphon_1f4c9d0be216f282,blocked,blocked
179,20231209124956.365976_IR_psiphon_a3b3af97fd1ce50f,ok,ok
180,20231209125647.588063_IR_psiphon_57db060f16ce5c20,ok,ok
181,20231209130951.422378_IR_tor_38227a5bdb21f027,blocked.tcp,blocked
182,20231209131715.588967_IR_ndt_611b5a204a340e2a,down.unreachable,down
183,20231209132303.641999_IR_telegram_c6780b9b7e4c9962,blocked.tcp,blocked
184,20231209133916.137248_IR_webconnectivity_ec978e7151643686,blocked,blocked
185,20231209133946.652659_IR_webconnectivity_9351a5ccf5b2b7e0,blocked,blocked
186,20231209134251.927155_IR_webconnectivity_93da8a88e31fbd64,ok,ok
187,20231209134254.777986_IR_webconnectivity_cbe0b2208a45dce7,ok,ok
188,20231209134718.819151_IR_webconnectivity_25b0062e655c5de8,ok,ok
189,20231209135052.101093_IR_webconnectivity_9935959c50c81511,ok,ok
190,20231209135327.677167_IR_webconnectivity_37580e895ea74544,ok,ok
191,20231210034024.024763_US_webconnectivity_7a31469aa4f80bf5,ok,ok
192,20231210152235.402641_RU_webconnectivity_0acd9476b871f7ce,ok,ok
